type,ident,lat,long,y_proj,x_proj,new_seg,display,color,altitude,depth,temp,time,model,filename,ltime
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4354631886971,-71.51904091754328,8181221.26774078,231002.04287302,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43564358972151,-71.5195345975844,8181200.63900977,230949.544735125,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43574743972048,-71.52031650659033,8181188.10155304,230866.145612602,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43627450873415,-71.52086701439137,8181129.01737138,230808.054032335,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43658221228026,-71.52130398692719,8181094.36999117,230761.790682876,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43677526032639,-71.52200445813317,8181072.06509657,230687.216158671,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43720394657728,-71.52338395021484,8181022.76790317,230540.418088784,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43734097791229,-71.52404258458925,8181006.71953182,230470.236562979,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43756010460479,-71.52487659413677,8180981.34835392,230381.430843927,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43764816397279,-71.52526946850057,8180971.07549537,230339.576504169,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4376400220532,-71.52564622556567,8180971.47447967,230299.3112798,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43756588810222,-71.52650949443955,8180978.53039194,230206.974253554,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43753358593423,-71.52726677452958,8180981.0961609,230126.019164029,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43739035345743,-71.528035025598,8180995.92808782,230043.738394996,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.437317303205,-71.52831473838401,8181003.64209291,230013.75181077,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43711527588261,-71.52876468661806,8181025.407832,229965.398159131,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43692758583529,-71.52923727834543,8181045.55595551,229914.644915632,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43666711075964,-71.52973774250133,8181073.72478853,229860.812820443,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43644402907732,-71.53028526031765,8181097.69081433,229802.00491759,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43626524730634,-71.53058289607237,8181117.08613199,229769.956709832,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43610183068965,-71.53072406841093,8181134.98939967,229754.64697571,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.4355820075415,-71.53087401493394,8181192.33879715,229737.906269523,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43551301483162,-71.53092314395622,8181199.91135055,229732.561561148,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43550407905705,-71.53151198388869,8181200.11370749,229669.634650273,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43538183119248,-71.53206790810033,8181212.90470622,229610.067627428,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43543936453485,-71.53256602625927,8181205.86919759,229556.925886571,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43555722199852,-71.53287944027487,8181192.4020552,229523.602466304,False, , ,0, , , , , , 
TRACK,TOR1A_PAUCPTA_RIOSOCABYA,-16.43571072744186,-71.53312005006802,8181175.08562341,229498.107244286,False, , ,0, , , , , , 
